2026-07-07T20:58:19 | PreToolUse   | tool=unit_test | input={"x": 1}
2026-07-08T04:45:05 | PostToolUse  | tool=ToolSearch | input={"query": "select:mcp__claude_ai_Expedia__search_flights,mcp__claude_ai_Expedia__search_hotels", "max_results": 2}
2026-07-08T04:45:22 | PreToolUse   | tool=mcp__claude_ai_Expedia__search_flights | input={"origin": "LHE", "destination": "DXB", "departure_date": "2026-09-20", "return_date": "2026-09-27", "adult_count": 1, "cabin_class": "ECONOMY", "sort_type": "PRICE", "price_max": 500, "query_text": "Round trip from Lahore Pakistan to Dubai UAE, departing September 20 2026, returning September 27 20
2026-07-08T04:45:25 | PreToolUse   | tool=mcp__claude_ai_Expedia__search_hotels | input={"destination": "Dubai, UAE", "check_in_date": "2026-09-20", "check_out_date": "2026-09-27", "adult_count": 1, "sort_type": "CHEAPEST", "max_nightly_price": 145, "max_total_price": 1000, "query_text": "Affordable hotel in Dubai for 7 nights, budget trip from Pakistan, good value", "user_locale": "en
2026-07-08T04:45:33 | PreToolUse   | tool=ToolSearch | input={"query": "select:mcp__travel__search_flights,mcp__travel__search_hotels", "max_results": 2}
2026-07-08T04:45:33 | PostToolUse  | tool=ToolSearch | input={"query": "select:mcp__travel__search_flights,mcp__travel__search_hotels", "max_results": 2}
2026-07-08T04:45:42 | PreToolUse   | tool=mcp__travel__search_flights | input={"departure_id": "LHE", "arrival_id": "DXB", "outbound_date": "2026-09-20", "return_date": "2026-09-27", "trip_type": "round_trip", "max_price_usd": 500}
2026-07-08T04:45:45 | PostToolUse  | tool=mcp__travel__search_flights | input={"departure_id": "LHE", "arrival_id": "DXB", "outbound_date": "2026-09-20", "return_date": "2026-09-27", "trip_type": "round_trip", "max_price_usd": 500}
2026-07-08T04:45:45 | PreToolUse   | tool=mcp__travel__search_hotels | input={"city": "Dubai, UAE", "check_in_date": "2026-09-20", "check_out_date": "2026-09-27", "adults": 1, "max_price_per_night_usd": 143}
2026-07-08T04:45:54 | PostToolUse  | tool=mcp__travel__search_hotels | input={"city": "Dubai, UAE", "check_in_date": "2026-09-20", "check_out_date": "2026-09-27", "adults": 1, "max_price_per_night_usd": 143}
2026-07-08T04:46:09 | PreToolUse   | tool=mcp__travel__remember_fact | input={"key": "best_flight_price", "value": "$411 round trip \u2014 Fly Jinnah, nonstop LHE\u2192DXB 3h25m"}
2026-07-08T04:46:09 | PostToolUse  | tool=mcp__travel__remember_fact | input={"key": "best_flight_price", "value": "$411 round trip \u2014 Fly Jinnah, nonstop LHE\u2192DXB 3h25m"}
2026-07-08T04:46:09 | PreToolUse   | tool=mcp__travel__remember_fact | input={"key": "best_hotel_value", "value": "Hyatt Regency Dubai \u2014 $63/night, 5-star, 4.4 rating, 12,011 reviews"}
2026-07-08T04:46:09 | PostToolUse  | tool=mcp__travel__remember_fact | input={"key": "best_hotel_value", "value": "Hyatt Regency Dubai \u2014 $63/night, 5-star, 4.4 rating, 12,011 reviews"}
